ra,dec,phot_g_mean_mag
38.360210224503476,68.02147269614763,11.386414
38.298601177955035,68.02394284155152,11.846254
38.20064817270195,68.07277333184807,11.427022
38.339416958121404,68.10900583599837,11.436823
38.09712078091731,68.11929740457624,11.0192375
37.98401399377483,68.12974103414466,10.8868885
36.758196326784784,67.6903750774946,11.107903
37.04384230606783,67.76980159819273,11.512668
36.68954352939939,67.71059314684231,9.875784
36.73954908937471,67.78166100728588,11.973596
36.847345944327,67.77865899413837,11.761745
36.6060964554746,67.84345988869856,11.956332
37.19055246145428,67.83606077745715,11.904599
37.414366914402436,67.93372114489041,11.527743
36.866303586018255,67.9213471477528,11.87752
36.95316914641981,67.96847992062375,9.851861
36.562598612775794,67.88079710572876,10.377243
36.29446763114284,68.08756096715834,10.939868
36.79451329733389,67.96728054772883,10.657343
37.007712310735364,68.10791482172935,11.984357
36.88347293102524,68.1673329190146,9.692018
36.86512878229639,68.16582393937722,11.884267
36.55526736517604,68.08492244614506,10.757558
37.23442038846607,68.08213608112075,11.493049
37.21797771280811,68.16914110509724,11.445745
37.489800454626675,68.22574461304146,9.469627
37.671134743029356,68.19221567980581,10.43381
37.41924613266904,68.30696973466173,11.844168
37.25600144981733,68.24453354734426,11.779415
37.26291865300954,68.29835698016714,11.1157675
37.21520840169833,68.35240848784889,11.406195
36.89655634705807,68.30290526208134,11.405592
36.91628047030754,68.42836026565453,10.389386
36.88023657841616,68.46255599882939,9.317508
37.372896296593375,68.38828506407037,9.62594
37.43196870434556,68.40198375178788,10.20992
37.46508493335602,68.42636387958267,11.298921
37.277469857095596,68.49324182391089,10.186277
37.4056213588905,68.55514855291973,11.984729
37.37642748758819,68.59593885629275,11.670546
39.07890384406504,67.98883969624292,11.207815
38.8515773558819,68.09663444968444,9.50088
38.82682224941808,68.22751808975043,11.495969
39.235387739172126,68.32007328706823,11.950812
38.50378715451231,68.28685718402144,11.793642
38.68013350371501,68.24987249412249,10.417518
38.616593017775024,68.27720226038767,11.448777
38.64166976744768,68.35514872245216,11.984055
38.3837465660884,68.29925750641492,9.985455
38.234938712459,68.2795571600915,10.972454
38.93323690095664,68.36766945048171,6.548692
38.82138916763116,68.37509142160187,11.593957
38.80751657760304,68.5603630763824,11.800772
38.86812532076037,68.57443210507802,10.297819
39.59597700564482,68.40866522722013,11.9300375
39.45055106811293,68.47336765807901,11.586122
39.6574311293936,68.58195807478036,11.953207
40.17704580097614,68.69101359314246,9.871782
39.89630425301817,68.67440588631193,10.412117
39.88115180924281,68.77864278440559,11.970857
39.190078267289955,68.58603230427335,11.100828
39.24268279979796,68.72657022917643,11.878713
39.676564791262585,68.91213969306807,10.99055
39.518525472437325,68.92657042004237,11.630319
38.15734062307822,68.35338639441234,11.492888
37.9138663800006,68.40371018466311,10.725376
37.93890502642289,68.42687129130053,8.963481
38.54185043943703,68.72236378350314,9.102605
38.41571907415725,68.72368066298463,11.590766
37.71297304540372,68.57377603205893,11.867699
37.70249633267492,68.57314378300633,9.416995
37.71501871985713,68.61906772748206,11.503726
37.674221861894054,68.68454966712959,10.531693
37.49828879162013,68.66469508685906,11.5658655
37.52806953749371,68.76744484939158,9.831584
38.08594149792921,68.77650483351997,10.6884365
38.21370109376205,68.86608400920046,9.505866
38.09871287323831,68.90510702033461,11.919017
38.91002411143389,68.86968891456934,9.931108
38.56396709009448,68.80428583116137,11.843196
38.55495048703251,68.92405399264929,10.596761
38.75512876173639,68.96792883649738,7.972762
39.196463622699625,68.96693721188332,11.472578
39.392825453193566,69.05677797617948,7.028391
39.39894724607193,69.06371605223428,11.394043
38.98700599509332,69.05258717221045,11.956501
39.009421749941055,69.05830649817699,11.44326
38.79781178398969,69.0329312893646,11.770379
39.114385315908024,69.16199331697145,11.733241
38.95048960745913,69.17307297190109,11.146725
38.96859581289289,69.19630100366133,11.653426
38.397282952257775,69.0539961552596,11.706549
38.11401247542895,69.0004324269773,9.726579
38.270885810265064,69.11784347359915,11.709815
38.17424307853592,69.13895826899717,11.524897
38.763808928427366,69.13202874922675,10.306991
38.63676239346914,69.20466961090783,11.75108
38.88438756175058,69.23213134387682,11.990988
38.76198520712373,69.30542374421285,11.510222
38.60048826509286,69.22766698608913,8.58808
38.744633341885965,69.30297345243285,10.004513
38.561913768252,69.32243684904302,10.948052
